	DNA_1	DNA_2	S_101	S_102	S_103	S_104	S_105	S_106	S_107	S_107a	S_108	S_109	S_110	S_111	S_112	S_113	S_114	S_115	S_116	S_117	S_118	S_119	S_120	S_121	S_122	S_123	S_124	S_125	S_126	S_127	S_128	S_129	S_130	S_131	S_132	S_133	S_134	S_135	S_136	S_137	S_138	S_139	S_140	S_141	S_142	S_143	S_144	S_145	S_146	S_147	S_148	S_149	S_150	S_151	S_152	S_153	S_154	S_155	S_156	S_157	S_158	S_159	S_160	S_161	S_162	S_163	S_164	S_165	S_166	S_167	S_168	S_169	S_170	S_171	S_172	S_173	S_174	S_175	S_176	S_177	S_178	S_179	S_180	S_181	S_182	S_183	S_184	H_450	H_451	H_452	H_453	H_454	H_455	H_456	H_457	H_458	H_459	H_459a	H_460	H_461	H_462	H_463	H_464	H_465	H_466	H_467	H_468	H_469	H_470	H_471	H_472	H_473	H_474	H_475	H_476	H_477	H_478	H_479	PCR_1	PCR_2	Spike_1_1	Spike_1_2	Spike_2_1	Spike_2_2
SV_31	51	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	133	63	54	0	100	0	0	35	0	0	0	0	0	156	0	0	69	0	49	29	0	92	46	38	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	86	0	0	0	0	187	0	0	63	108	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	93	0	0	0	0	80	83	0	92	0	0	64	75	0	0	0	0	274	0	162	0	47
SV_32	47	43	378	236	180	736	206	120	231	175	186	124	346	723	265	421	1021	919	95	147	170	137	465	197	292	46	215	188	542	317	635	429	247	135	179	199	3006	47	69	208	71	1988	81	121	218	270	371	98	133	361	167	2264	481	262	187	1270	141	399	458	279	374	832	91	176	282	513	51	170	1507	271	457	224	626	1345	225	350	206	585	188	439	457	60	173	126	66	234	306	746	360	131	518	453	101	342	1575	125	757	312	134	165	101	58	541	296	237	130	556	80	147	741	71	665	146	110	229	293	385	382	475	52	100	90	323	85
SV_33	9	0	32	0	9	43	0	26434	2712	3	15829	6	0	0	17	11	7	0	0	0	0	0	53	20	17	0	0	24	36	0	25	0	0	38	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	15	0	3	0	0	10	23	0	14	3	0	155	21	0	0	0	0	0	70	20	52	7	20	0	0	0	0	101	16	0	34	67	0	4	0	0	10	0	18	0	281	0	5	0	20	0	0	0	0	0	23	17	11	0	9	17	0	98	11	12	0	20	0	0	244	51	19	0	124	0	0	0
SV_34	0	0	640	54	54	110	63	0	8615	0	0	164	11026	243	685	563	228	808	34	0	116	51	68	111	0	0	74	75	546	124	160	131	144	0	365	85	6119	0	0	111	0	519	0	5971	109	0	59	177	140	117	53	239	123	125	106	237	43	53	145	37	78	425	92	0	79	65	0	174	210	105	118	57	41	100	0	42	295	89	0	0	374	0	328	0	236	183	67	239	0	128	0	72	0	336	504	50	83	213	60	0	0	42	79	0	0	0	72	0	83	0	0	161	36	0	46	123	177	0	0	0	41	73	272	78
SV_35	56	0	381	57	336	1116	243	125	1442	53	49	116	2442	906	331	663	631	1620	99	140	48	218	164	987	367	80	149	120	775	233	289	989	470	122	354	465	1088	23	295	149	71	905	871	554	130	67	2178	306	1111	172	0	68	138	342	0	300	163	374	178	74	176	303	70	473	123	175	69	123	632	467	2292	99	112	386	252	57	105	137	62	523	319	115	1532	50	974	244	163	817	206	131	334	280	521	717	195	103	240	243	234	95	231	40	489	358	367	136	96	44	66	130	106	330	103	109	164	149	210	449	97	0	63	0	116	0
SV_36	0	6	130	0	0	0	0	0	0	56	0	0	75	0	0	0	0	0	0	10	162	122	0	0	0	16	0	58	0	0	0	0	0	13	38	46	0	0	17	0	0	89	27	46	43	0	0	75	56	0	0	0	0	0	0	60	0	0	0	49	0	135	14	0	65	136	0	5	0	0	0	176	0	11	64	0	394	69	0	0	0	68	0	0	11	0	0	0	0	109	15	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	28	0	0	0	100	0	0	0	21
SV_37	40	68	76	196	119	14	0	93	517	26	44	733	1284	352	18	8649	80	43	34	6074	88	0	61	57	44	70	1014	28	1538	73	344	165	410	44	823	75	211	16	58	45	48	580	18	0	35	73	118	740	22	76	0	86	56	70	77	1215	110	128	186	201	30	657	98	37	22	57	50	0	104	456	57	59	0	1179	22	0	140	46	781	107	771	49	140	0	56	40	0	2404	124	76	43	459	29	2907	724	0	677	129	11	324	60	20	480	37	31	36	74	27	48	29	31	343	0	174	31	25	155	134	129	0	0	41	38	0
SV_38	0	0	206	0	0	0	0	0	0	34	0	0	13	0	0	0	0	0	0	0	35	229	0	0	0	6	0	28	0	0	0	0	0	0	8	13	0	0	0	19	0	172	5	0	0	0	0	169	10	0	0	0	0	0	0	137	0	0	0	29	11	191	0	0	0	247	0	0	0	0	0	193	0	0	15	0	290	17	0	0	0	119	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	208	0	0	0	0
SV_39	0	0	0	0	4	0	0	0	0	0	0	0	65	0	0	15	0	0	0	468	799	20	25	0	3	687	0	0	0	0	0	0	33	87	23	65	0	0	40	0	15	31	0	0	0	0	0	392	208	95	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	157	19	0	0	0	0	0	0	0	0	55	62	0	0	0	132	0	0	215	0	0	5	0	34	85	285	0	3	0	0	0	0	3157	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	4	31	0	0	0	22
SV_40	0	168	52	34	0	0	9	0	0	30	0	29	11	0	0	0	0	0	0	32	29	15	0	0	0	15	0	19	8	0	0	0	18	0	15	0	0	0	9	14	18	17	12	43	49	0	0	24	9	0	0	0	0	0	0	12	35	0	0	13	0	52	5	0	44	49	22	10	0	0	0	49	0	19	13	0	141	15	0	0	0	14	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	18	0	11	0	9
SV_41	0	0	360	94	0	74	0	727	1050	50	0	0	0	0	37	0	211	0	0	230	0	970	97	0	0	0	73	1207	224	135	1936	3561	241	441	433	0	0	0	91	120	0	5868	197	61	920	0	0	56	0	70	0	0	138	302	0	764	0	170	0	0	0	72	0	281	0	275	0	0	1045	1581	321	0	133	326	0	0	766	119	0	409	151	86	1251	0	656	460	75	2508	266	786	280	0	0	78	114	1123	0	0	0	0	90	0	824	48	0	0	0	0	0	115	0	307	72	1539	0	683	307	556	75	0	0	0	52	0
SV_42	0	122	23	65	0	0	0	0	0	26	0	77	19	0	0	0	0	0	0	0	18	45	0	0	0	0	0	23	0	0	0	0	0	0	12	22	0	0	0	0	0	27	0	0	23	0	0	32	16	0	0	0	0	0	0	17	65	0	0	24	0	18	7	0	19	0	0	0	0	0	0	32	0	0	31	0	68	23	0	0	0	20	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	23	0	0	0	21
SV_43	9	103	68	13	0	0	0	0	0	7	0	8	0	0	0	0	0	0	0	16	20	6	0	0	0	7	0	0	5	0	0	0	23	0	0	12	0	7	0	0	21	9	7	59	53	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	66	6	0	49	63	12	7	0	0	0	66	0	23	0	0	148	0	0	0	0	0	0	0	9	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	14	0	36	0	0	0	12	0	17	0	0
SV_44	0	0	47	106	13	87	209	31	197	0	0	59	1344	50	48	0	335	441	121	0	0	63	127	16	98	0	26	0	271	63	36	265	74	0	32	29	24868	74	39	44	0	163	16	0	51	22	27	95	0	382	42	606	59	133	0	193	57	56	78	193	35	111	15	0	45	386	15	59	202	72	133	106	153	107	56	119	46	64	95	28	92	0	0	0	0	123	171	154	28	37	59	168	572	55	265	6	229	200	162	28	60	24	40	21	36	28	247	0	36	51	22	318	27	0	172	198	151	76	0	0	112	0	28	0
